Ablehnungsgrund,Adresse,Bewerbungsdatum,Bewerbungsquelle,Bewertung Assessment,Bewertung Erstes Gespräch,Bewertung Prescreening,E-Mail,Effektiver Gehalt,Einstellungsdatum,Geburtsdatum,Gehaltsvorstellungen,Geschlecht,Headhunter Firma,Headhunter Name,Interviewer,Job Titel,Kandidaten-ID,Nachname,Standort,Status,StellenID,Telefonnummer,Veröffentlichungsdatum,Vorname,id
Unzureichende Qualifikationen,"Pseudonymized, 9012 Uri",09.07.2021,LinkedIN Paid Post,genügend,sehr gut,genügend,pseudonymized_E-Mail_1259,97708.86,22.02.2022,24.05.1962,>140k,M,,,Joachim Kaiser,Brand Manager,6e9b6dfd-c796-4888-a7ea-ed5958f29f81,pseudonymized_Nachname_1259,Bern,Abgelehnt,ab9a898a-72ea-43ea-bb02-1bc65a06cf82,pseudonymized_Telefonnummer_1259,28.01.2023,pseudonymized_Vorname_1259,a810
Unzureichende Qualifikationen,"Pseudonymized, 6265 Basel-Landschaft",18.08.2020,Google Ads,genügend,genügend,gut,pseudonymized_E-Mail_1260,91053.37,23.06.2021,10.04.1972,50-60k,M,,,Zahra Hug Lutz,SEO Specialist,c62430c3-07ce-4acd-8a77-e93ce00c07a6,pseudonymized_Nachname_1260,Luzern,Assessment,5726372b-0071-4086-aa32-480ab0574f17,pseudonymized_Telefonnummer_1260,23.09.2020,pseudonymized_Vorname_1260,978c
Nicht verfügbar,"Pseudonymized, 5435 Basel-Stadt",25.05.2022,LinkedIN Jobslots,deutlich ungenügend,deutlich ungenügend,deutlich ungenügend,pseudonymized_E-Mail_1261,116009.16,07.10.2022,07.09.1960,50-60k,F,,,Séverine Huber,PR Specialist,e3c4a0d6-286f-431e-b49c-9fb75140a412,pseudonymized_Nachname_1261,Bern,Eingereicht,2586c22f-5813-4af7-9de0-dfa1b89f9a55,pseudonymized_Telefonnummer_1261,05.08.2023,pseudonymized_Vorname_1261,4ea5
,"Pseudonymized, 5310 Neuenburg",25.05.2020,Direkt,deutlich ungenügend,deutlich ungenügend,knapp ungenügend,pseudonymized_E-Mail_1262,85023.23,22.10.2021,01.04.1969,80-90k,M,,,Prof. Layla Küng,Event Coordinator,bdd0db58-dd5a-4417-a5bf-1d39e236adcc,pseudonymized_Nachname_1262,Luzern,Assessment,00b4a331-d3f3-4c2e-9f05-e1b3921cd4a2,pseudonymized_Telefonnummer_1262,13.09.2021,pseudonymized_Vorname_1262,bfd7
Bessere Kandidaten,"Pseudonymized, 5341 Zürich",29.06.2021,Headhunter,knapp ungenügend,deutlich ungenügend,Unknown,pseudonymized_E-Mail_1263,78193.0,05.02.2024,21.07.1984,70-80k,F,Albrecht-Forster,Dr. Petr Siegrist,Manon Bättig,Budget Analyst,c948a101-a5d3-4970-9ff7-54b300787ae6,pseudonymized_Nachname_1263,Bern,Prescreening,a05d975b-40d3-40bb-b8ab-9c120d13ad3e,pseudonymized_Telefonnummer_1263,22.03.2024,pseudonymized_Vorname_1263,70db
Bessere Kandidaten,"Pseudonymized, 6896 Appenzell Ausserrhoden",29.08.2020,Meta,sehr gut,deutlich ungenügend,Unknown,pseudonymized_E-Mail_1264,105915.1,21.02.2022,01.07.1981,100-110k,F,,,Greta Berger-Eichenberger,Budget Analyst,52e8dc62-7cee-4b01-a3f4-21821cf6eab0,pseudonymized_Nachname_1264,Luzern,Prescreening,13484f0c-1145-491d-8774-54896b0c5b92,pseudonymized_Telefonnummer_1264,12.10.2023,pseudonymized_Vorname_1264,bbd5
Unvollständige Bewerbung,"Pseudonymized, 1744 Appenzell Ausserrhoden",07.03.2020,Meta,deutlich ungenügend,gut,sehr gut,pseudonymized_E-Mail_1265,62750.02,11.06.2023,12.12.1971,60-70k,F,,,Manon Bättig,Social Media Manager,68d2d854-0c6f-4543-a0ab-e0998198606b,pseudonymized_Nachname_1265,Bern,Angebot,d2d708ee-fa97-4242-8366-1f070f9f9f00,pseudonymized_Telefonnummer_1265,22.06.2022,pseudonymized_Vorname_1265,6d5c
Gehaltsvorstellungen zu hoch,"Pseudonymized, 5996 Basel-Landschaft",01.01.2023,Direkt,sehr gut,sehr gut,deutlich ungenügend,pseudonymized_E-Mail_1266,78157.09,30.10.2023,22.10.1966,110-120k,F,,,Greta Berger-Eichenberger,Content Creator,1af97f40-98b0-4178-98da-8f76ee76e2e3,pseudonymized_Nachname_1266,Zürich,Abgelehnt,b9ec2c5e-ff32-46bf-8c13-436e79a91a62,pseudonymized_Telefonnummer_1266,12.04.2024,pseudonymized_Vorname_1266,9900
Gehaltsvorstellungen zu hoch,"Pseudonymized, 8953 Zürich",25.11.2020,Organic search,sehr gut,sehr gut,gut,pseudonymized_E-Mail_1267,75753.81,07.04.2021,04.04.1990,70-80k,F,,,Gregor Eichenberger,Network Administrator,5e5bfcd4-4fe3-48e7-a2e6-7454232db430,pseudonymized_Nachname_1267,Bern,Abgelehnt,9ef11cbe-3958-4af6-9186-7f1b3a4289cc,pseudonymized_Telefonnummer_1267,16.06.2023,pseudonymized_Vorname_1267,c441
Überqualifiziert,"Pseudonymized, 2205 Neuenburg",25.09.2023,Organic search,genügend,genügend,deutlich ungenügend,pseudonymized_E-Mail_1268,69983.68,24.03.2024,20.11.1973,120-130k,F,,,Prof. Layla Küng,Budget Analyst,1994b1e6-b24f-4c97-9cc0-d414df5655fa,pseudonymized_Nachname_1268,Zürich,Prescreening,66bf16a1-807f-4c36-bfad-e92f010b6b75,pseudonymized_Telefonnummer_1268,31.10.2023,pseudonymized_Vorname_1268,2d14
Unzureichende Qualifikationen,"Pseudonymized, 3696 Bern",22.10.2023,LinkedIN Jobslots,Unknown,knapp ungenügend,gut,pseudonymized_E-Mail_1269,95916.68,08.05.2024,31.10.2005,120-130k,,,,Greta Berger-Eichenberger,Content Creator,d52e109d-b6b0-41de-80b5-717d7bbe8df7,pseudonymized_Nachname_1269,Zürich,1. Interview,0aaae035-5916-4be9-92e1-ed42432f9aaf,pseudonymized_Telefonnummer_1269,13.04.2024,pseudonymized_Vorname_1269,0043
Gehaltsvorstellungen zu hoch,"Pseudonymized, 6877 Tessin",23.08.2023,Organic search,sehr gut,deutlich ungenügend,genügend,pseudonymized_E-Mail_1270,53734.46,30.12.2023,27.06.1960,60-70k,M,,,Manon Bättig,Software Engineer,fd7e1c95-d00e-4680-94b6-dc828858d54f,pseudonymized_Nachname_1270,Bern,Abgelehnt,e035e9bc-350d-44d8-bfca-c5659d92c074,pseudonymized_Telefonnummer_1270,20.02.2024,pseudonymized_Vorname_1270,dc6f
Gehaltsvorstellungen zu hoch,"Pseudonymized, 2085 Thurgau",13.07.2023,Meta,sehr gut,gut,deutlich ungenügend,pseudonymized_E-Mail_1271,59245.5,26.03.2024,11.02.1982,70-80k,F,,,Prof. Layla Küng,Social Media Manager,3e9d1832-7a11-4491-9e8d-e246b137b4fe,pseudonymized_Nachname_1271,Luzern,1. Interview,87183fc5-cca1-40e8-873e-5df8cc664f89,pseudonymized_Telefonnummer_1271,04.10.2023,pseudonymized_Vorname_1271,0d78
Überqualifiziert,"Pseudonymized, 3153 Waadt",16.09.2021,Meta,genügend,deutlich ungenügend,knapp ungenügend,pseudonymized_E-Mail_1272,86905.89,22.02.2024,01.08.1958,50-60k,F,,,Ghislaine Walter,Recruiter,fd142bf1-ee14-420a-93e7-e5de2e021d60,pseudonymized_Nachname_1272,Zürich,Assessment,d53c4b7d-b253-464c-95fc-64e98759c562,pseudonymized_Telefonnummer_1272,31.03.2023,pseudonymized_Vorname_1272,b895
Überqualifiziert,"Pseudonymized, 7037 Appenzell Innerrhoden",27.09.2021,Organic search,deutlich ungenügend,deutlich ungenügend,deutlich ungenügend,pseudonymized_E-Mail_1273,72710.97,09.06.2022,1900-01-01,110-120k,M,,,Franca Zürcher,Budget Analyst,e39304fb-e6a5-44f1-b3ae-40aebf7bc465,pseudonymized_Nachname_1273,Zürich,Angebot,05b175fe-a6f4-4a5a-b3c6-907aa89d7724,pseudonymized_Telefonnummer_1273,20.04.2022,pseudonymized_Vorname_1273,1b2d
Bessere Kandidaten,"Pseudonymized, 6041 Solothurn",02.03.2020,Organic search,gut,gut,knapp ungenügend,pseudonymized_E-Mail_1274,99860.8,04.10.2023,30.06.1978,120-130k,M,,,Margret Hasler,Network Administrator,7422f468-fca4-4dde-bac2-9186c79d2a7d,pseudonymized_Nachname_1274,Bern,Prescreening,33700d8f-7a42-4c21-9325-c4b3e79f82a3,pseudonymized_Telefonnummer_1274,03.01.2021,pseudonymized_Vorname_1274,359e
Nicht verfügbar,Unknown,12.08.2022,LinkedIN Jobslots,sehr gut,genügend,knapp ungenügend,pseudonymized_E-Mail_1275,68370.21,15.11.2023,01.05.1999,60-70k,M,,,Hermine Hess,Auditor,b1ce1de4-41fa-46e5-ba9c-3b8f295e8c6e,pseudonymized_Nachname_1275,Bern,Assessment,7c500773-2203-4ea4-8c03-f4cdb9ab40f7,pseudonymized_Telefonnummer_1275,1900-01-01,pseudonymized_Vorname_1275,2414
Überqualifiziert,"Pseudonymized, 7744 Appenzell Innerrhoden",09.12.2021,Organic search,genügend,deutlich ungenügend,deutlich ungenügend,pseudonymized_E-Mail_1276,74671.76,05.01.2022,21.12.1972,50-60k,M,,,Prof. Layla Küng,Accountant,7c52b3f7-e385-4c85-b518-68c50e1824cf,pseudonymized_Nachname_1276,Bern,1. Interview,8eb3f953-1bae-42f4-a0a7-e0ce46d5cf04,pseudonymized_Telefonnummer_1276,01.07.2022,pseudonymized_Vorname_1276,ce2e
Bessere Kandidaten,Unknown,30.03.2024,LinkedIN Paid Post,sehr gut,sehr gut,genügend,pseudonymized_E-Mail_1277,122417.74,26.05.2024,17.08.1972,80-90k,M,,,Zahra Hug Lutz,Database Administrator,fc5e94fb-1dc9-407e-ba4a-d6be62334ee7,pseudonymized_Nachname_1277,Bern,Assessment,7ae1eef8-6d44-44b3-b331-62a19c44ae81,pseudonymized_Telefonnummer_1277,27.04.2024,pseudonymized_Vorname_1277,220b
Unzureichende Qualifikationen,"Pseudonymized, 8131 Zug",10.04.2021,Headhunter,deutlich ungenügend,sehr gut,Unknown,pseudonymized_E-Mail_1278,109915.56,29.04.2021,20.04.1959,130-140k,F,Haas-Näf,Remo Bernasconi,Kristian Furrer,Database Administrator,dd982c68-ceb9-41f9-8a0b-33eeb4825c5d,pseudonymized_Nachname_1278,Zürich,Abgelehnt,a3b2e03b-a2a2-475b-b94b-31d0e456d685,pseudonymized_Telefonnummer_1278,10.05.2024,pseudonymized_Vorname_1278,283d
Überqualifiziert,"Pseudonymized, 5394 Luzern",07.03.2024,Google Ads,knapp ungenügend,genügend,knapp ungenügend,pseudonymized_E-Mail_1279,114906.92,09.03.2024,23.03.1979,100-110k,M,,,Joachim Kaiser,Auditor,bb26b91b-3380-4841-b259-cea1fe2f6522,pseudonymized_Nachname_1279,Zürich,Abgelehnt,1a79085f-a84f-485f-af28-12db1fbe1c17,pseudonymized_Telefonnummer_1279,11.04.2024,pseudonymized_Vorname_1279,3da6
Zu wenig Erfahrung,"Pseudonymized, 5764 Appenzell Innerrhoden",08.06.2022,LinkedIN Jobslots,gut,deutlich ungenügend,knapp ungenügend,pseudonymized_E-Mail_1280,120564.81,1900-01-01,14.04.1985,100-110k,F,,,Ghislaine Walter,Software Engineer,1c6c076b-e094-4b08-9dcf-04ea300c6cb0,pseudonymized_Nachname_1280,Bern,Abgelehnt,937cd257-9a5f-40d7-b260-e79d9d7d08e5,pseudonymized_Telefonnummer_1280,31.01.2023,pseudonymized_Vorname_1280,5c66
Bessere Kandidaten,"Pseudonymized, 9575 Appenzell Ausserrhoden",17.07.2020,Direkt,Unknown,sehr gut,Unknown,pseudonymized_E-Mail_1281,78253.12,09.05.2024,29.07.1960,50-60k,M,,,Marijana Blaser Schuler,Network Administrator,817a1b42-7ef2-4bd3-ad49-5392c602175d,pseudonymized_Nachname_1281,Luzern,Abgelehnt,c3b0f9b0-1372-4df7-b5b0-9b1c0b2aa5c5,pseudonymized_Telefonnummer_1281,05.08.2023,pseudonymized_Vorname_1281,24bb
Unzureichende Qualifikationen,"Pseudonymized, 6723 Neuenburg",25.06.2023,Meta,knapp ungenügend,genügend,deutlich ungenügend,pseudonymized_E-Mail_1282,50400.24,28.09.2023,07.02.1983,50-60k,F,,,Margret Hasler,Payroll Specialist,8b2ef932-8732-4a60-8782-358b55b945ff,pseudonymized_Nachname_1282,Luzern,Eingereicht,8cf46f4f-c996-4a27-beca-290ef0761d94,pseudonymized_Telefonnummer_1282,28.03.2024,pseudonymized_Vorname_1282,a7c8
Nicht verfügbar,"Pseudonymized, 3090 Obwalden",07.06.2020,LinkedIN Paid Post,genügend,gut,knapp ungenügend,pseudonymized_E-Mail_1283,128179.69,03.04.2021,02.11.1963,80-90k,M,,,Joachim Kaiser,PR Specialist,9d3b9b0e-d1bd-4cc9-87d6-1b812d6e97d9,pseudonymized_Nachname_1283,Zürich,Abgelehnt,b7dd9d07-19b4-403d-9ad3-506820d17638,pseudonymized_Telefonnummer_1283,15.06.2021,pseudonymized_Vorname_1283,9098
Unvollständige Bewerbung,"Pseudonymized, 9129 Wallis",08.10.2021,Meta,sehr gut,Unknown,deutlich ungenügend,pseudonymized_E-Mail_1284,96324.01,29.03.2022,08.09.2005,80-90k,F,,,Manon Bättig,Software Engineer,fc48dcf5-8422-437a-81e9-ed67c0bd7f83,pseudonymized_Nachname_1284,Bern,Abgelehnt,eff9e0ce-8fe2-4208-9438-024b13eb439f,pseudonymized_Telefonnummer_1284,31.08.2023,pseudonymized_Vorname_1284,6bc1
Überqualifiziert,"Pseudonymized, 5151 Neuenburg",22.02.2024,LinkedIN Paid Post,sehr gut,sehr gut,deutlich ungenügend,pseudonymized_E-Mail_1285,52529.65,30.03.2024,29.11.2005,70-80k,M,,,Irene Fuchs,SEO Specialist,740fb5db-24d5-4839-8599-520c619db6d9,pseudonymized_Nachname_1285,Zürich,Assessment,fd2e88bd-95aa-4259-903c-62a40265466a,pseudonymized_Telefonnummer_1285,31.05.2024,pseudonymized_Vorname_1285,31d6
Gehaltsvorstellungen zu hoch,Unknown,30.01.2024,LinkedIN Jobslots,gut,deutlich ungenügend,knapp ungenügend,pseudonymized_E-Mail_1286,117612.79,01.04.2024,11.02.1973,100-110k,F,,,Kristian Furrer,Financial Analyst,3660f6b9-e00e-4bf0-b027-82135d3c3174,pseudonymized_Nachname_1286,Zürich,Assessment,327b904f-2248-4744-8f0c-8cd4b379bd00,pseudonymized_Telefonnummer_1286,05.03.2024,pseudonymized_Vorname_1286,89fb
Gehaltsvorstellungen zu hoch,"Pseudonymized, 1086 Bern",14.08.2023,Meta,knapp ungenügend,genügend,gut,pseudonymized_E-Mail_1287,113693.53,14.10.2023,30.01.1975,60-70k,F,,,Zahra Hug Lutz,HR Specialist,b7b5c7b3-360d-4455-8257-9c8137b539eb,pseudonymized_Nachname_1287,Zürich,Angebot,ea42a608-ef9c-4d31-85be-28b768304d41,pseudonymized_Telefonnummer_1287,28.12.2023,pseudonymized_Vorname_1287,452d
Unzureichende Qualifikationen,"Pseudonymized, 7576 Glarus",31.07.2022,Meta,gut,gut,gut,pseudonymized_E-Mail_1288,55832.31,28.07.2023,21.02.1994,120-130k,F,,,Hermine Hess,Financial Analyst,c0427d3f-e2f3-46f9-a676-9864349dd862,pseudonymized_Nachname_1288,Luzern,Assessment,0a55aa1b-deab-46cf-a890-b1d3a4b08fbb,pseudonymized_Telefonnummer_1288,22.05.2024,pseudonymized_Vorname_1288,8163
Unvollständige Bewerbung,"Pseudonymized, 8104 Obwalden",17.05.2020,Meta,knapp ungenügend,gut,knapp ungenügend,pseudonymized_E-Mail_1289,52589.24,09.01.2022,28.02.1966,50-60k,F,,,Gregor Eichenberger,Software Engineer,d2031194-f6e9-43a2-9565-74b7a5635a3e,pseudonymized_Nachname_1289,Bern,1. Interview,02005e3c-e847-4ff3-83ec-c1e79e22e9bf,pseudonymized_Telefonnummer_1289,17.07.2022,pseudonymized_Vorname_1289,2566
Überqualifiziert,"Pseudonymized, 6953 Graubünden",25.08.2020,Google Ads,knapp ungenügend,sehr gut,knapp ungenügend,pseudonymized_E-Mail_1290,136816.9,11.01.2023,29.03.1969,110-120k,F,,,Marijana Blaser Schuler,Marketing Manager,ac2032dd-1e52-4dcd-885e-b7811bdea86c,pseudonymized_Nachname_1290,Luzern,Assessment,f3cbc2af-3302-4e31-9b03-39dc38e3b0e3,pseudonymized_Telefonnummer_1290,10.08.2021,pseudonymized_Vorname_1290,becd
Zu wenig Erfahrung,"Pseudonymized, 5531 Luzern",22.04.2024,Google Ads,gut,deutlich ungenügend,deutlich ungenügend,pseudonymized_E-Mail_1291,64677.35,12.05.2024,26.08.1975,50-60k,M,,,Irene Fuchs,Event Coordinator,b260e9d2-88b6-49c1-9f33-dc8adb17f0f5,pseudonymized_Nachname_1291,Bern,Abgelehnt,a26cfb3f-8739-464d-92d4-89675375602b,pseudonymized_Telefonnummer_1291,28.05.2024,pseudonymized_Vorname_1291,9cbf
Nicht verfügbar,"Pseudonymized, 6467 Solothurn",02.07.2021,Organic search,genügend,deutlich ungenügend,Unknown,pseudonymized_E-Mail_1292,65745.85,06.06.2022,07.11.1967,90-100k,M,,,Séverine Huber,Content Creator,7b8650a9-c561-49a6-ac10-36c8ff1b387f,pseudonymized_Nachname_1292,Bern,Assessment,8b9545f0-3575-4c93-96a0-0859614d84f0,pseudonymized_Telefonnummer_1292,30.05.2022,pseudonymized_Vorname_1292,c5dd
Bessere Kandidaten,"Pseudonymized, 2861 Bern",16.08.2021,Google Ads,sehr gut,deutlich ungenügend,Unknown,pseudonymized_E-Mail_1293,65989.83,07.11.2021,25.08.1978,60-70k,M,,,Manon Bättig,PR Specialist,3262996f-4f34-435a-b52b-4939ae50641e,pseudonymized_Nachname_1293,Zürich,Assessment,bc127aad-cb0e-47a8-8bd7-43fc16ed9dad,pseudonymized_Telefonnummer_1293,18.11.2021,pseudonymized_Vorname_1293,24dc
Unvollständige Bewerbung,"Pseudonymized, 8275 Schwyz",11.08.2023,LinkedIN Paid Post,gut,deutlich ungenügend,genügend,pseudonymized_E-Mail_1294,129910.73,02.11.2023,1900-01-01,100-110k,F,,,Franca Zürcher,Auditor,5c6d18a3-be01-4f12-97c1-fbfea62ee9e3,pseudonymized_Nachname_1294,Bern,Angebot,a517d81d-b639-4c7f-a137-72d9523ab556,pseudonymized_Telefonnummer_1294,22.11.2023,pseudonymized_Vorname_1294,07c5
Nicht verfügbar,"Pseudonymized, 7894 Thurgau",13.06.2020,Meta,sehr gut,genügend,knapp ungenügend,pseudonymized_E-Mail_1295,64476.44,15.09.2022,07.02.1994,60-70k,F,,,Zahra Hug Lutz,Copywriter,da7e5534-4acd-49d5-a676-a41d5f031e69,pseudonymized_Nachname_1295,Luzern,Abgelehnt,ca414cd8-e5fd-4c1a-8228-cb7ed428c4df,pseudonymized_Telefonnummer_1295,1900-01-01,pseudonymized_Vorname_1295,f93c
Unzureichende Qualifikationen,"Pseudonymized, 8642 Graubünden",29.11.2022,LinkedIN Jobslots,knapp ungenügend,deutlich ungenügend,genügend,pseudonymized_E-Mail_1296,116179.66,30.03.2023,02.04.2005,60-70k,M,,,Joachim Kaiser,Event Coordinator,a7b45480-c6e4-465c-b4dc-bc11b2c5a7f0,pseudonymized_Nachname_1296,Luzern,Assessment,a31e2576-a23f-4c16-9319-b906c4790f11,pseudonymized_Telefonnummer_1296,26.01.2023,pseudonymized_Vorname_1296,8a6d
Nicht verfügbar,"Pseudonymized, 5496 Jura",06.12.2020,Direkt,gut,knapp ungenügend,knapp ungenügend,pseudonymized_E-Mail_1297,59203.48,19.10.2023,12.12.1966,>140k,M,,,Marijana Blaser Schuler,Event Coordinator,6ca666e2-90c8-4a1b-a426-ed5d08a45b0e,pseudonymized_Nachname_1297,Zürich,Angebot,b7029ae7-132f-45fe-a171-9f6cc6d91af9,pseudonymized_Telefonnummer_1297,12.10.2023,pseudonymized_Vorname_1297,e2cb
Unzureichende Qualifikationen,"Pseudonymized, 5325 Bern",11.11.2020,Organic search,Unknown,Unknown,knapp ungenügend,pseudonymized_E-Mail_1298,112331.74,01.08.2022,17.08.2005,100-110k,F,,,Irene Fuchs,Payroll Specialist,05f661b1-3e98-4b28-9101-1d3e4e19baa7,pseudonymized_Nachname_1298,Luzern,Assessment,f94d9216-ac66-45d5-831d-efc5cec524ab,pseudonymized_Telefonnummer_1298,28.11.2023,pseudonymized_Vorname_1298,d0e9
Bessere Kandidaten,"Pseudonymized, 8060 Neuenburg",07.07.2021,Headhunter,Unknown,knapp ungenügend,gut,pseudonymized_E-Mail_1299,95916.38,26.11.2023,26.09.1975,50-60k,M,Ziegler Inc,Teresa Schneider,Franca Zürcher,Payroll Specialist,3c7bd8ae-a203-471a-ba1f-370eba0cff21,pseudonymized_Nachname_1299,Bern,Eingereicht,9b09d705-a30e-488f-94aa-a2e151123fd6,pseudonymized_Telefonnummer_1299,02.05.2022,pseudonymized_Vorname_1299,d93f
Unzureichende Qualifikationen,"Pseudonymized, 2381 Aargau",27.05.2020,Direkt,deutlich ungenügend,sehr gut,genügend,pseudonymized_E-Mail_1300,132832.69,05.07.2022,04.07.1970,100-110k,M,,,Joachim Kaiser,Recruiter,d3398413-c590-452e-9eff-b808ea00be0c,pseudonymized_Nachname_1300,Zürich,Angebot,0d3cf107-1433-4627-8112-48467aa857e3,pseudonymized_Telefonnummer_1300,24.09.2021,pseudonymized_Vorname_1300,f176
,"Pseudonymized, 3548 Uri",21.07.2022,Google Ads,knapp ungenügend,sehr gut,sehr gut,pseudonymized_E-Mail_1301,53373.72,27.02.2023,29.09.2004,130-140k,F,,,Prof. Layla Küng,Software Engineer,a2765c81-74ad-4d99-a3a4-83f081c7394e,pseudonymized_Nachname_1301,Zürich,Abgelehnt,291aa861-c6fe-43b6-9036-54e604e61438,pseudonymized_Telefonnummer_1301,19.11.2023,pseudonymized_Vorname_1301,b269
,"Pseudonymized, 6055 Genf",26.06.2023,Headhunter,gut,knapp ungenügend,sehr gut,pseudonymized_E-Mail_1302,,01.03.2024,24.03.1990,100-110k,F,Zingg-Gasser,Damaris Zbinden,Hermine Hess,Brand Manager,30a52e38-23c0-4618-aa5e-74008118e2f2,pseudonymized_Nachname_1302,Zürich,Angebot,c34391c1-2c13-4855-9587-34466c373aa1,pseudonymized_Telefonnummer_1302,19.12.2023,pseudonymized_Vorname_1302,f90d
Nicht verfügbar,"Pseudonymized, 6453 Appenzell Ausserrhoden",18.02.2023,Organic search,gut,deutlich ungenügend,genügend,pseudonymized_E-Mail_1303,57301.42,19.06.2023,09.02.1977,130-140k,F,,,Manon Bättig,Marketing Manager,151cb733-e6b9-435c-8136-414e69a24581,pseudonymized_Nachname_1303,Zürich,Angebot,02b6df77-f003-4ce4-a5fb-ef1b4ec7908a,pseudonymized_Telefonnummer_1303,22.10.2023,pseudonymized_Vorname_1303,62f6
Gehaltsvorstellungen zu hoch,"Pseudonymized, 7943 Nidwalden",04.04.2021,Direkt,knapp ungenügend,Unknown,sehr gut,pseudonymized_E-Mail_1304,121038.93,02.02.2023,10.02.1984,90-100k,M,,,Gregor Eichenberger,Auditor,dfff3fb3-ccd5-4309-a06f-df49fe32bc25,pseudonymized_Nachname_1304,Zürich,1. Interview,8a493940-bf5f-4b72-bf56-e76273896917,pseudonymized_Telefonnummer_1304,23.05.2021,pseudonymized_Vorname_1304,00c5
Unzureichende Qualifikationen,"Pseudonymized, 3480 Waadt",20.04.2023,LinkedIN Paid Post,knapp ungenügend,sehr gut,sehr gut,pseudonymized_E-Mail_1305,95734.26,11.10.2023,17.07.2005,>140k,F,,,Hermine Hess,PR Specialist,b137ef73-e736-44dd-a019-08f73604b9e0,pseudonymized_Nachname_1305,Bern,1. Interview,7ff577f1-baa2-4dc0-9793-739e586694ee,pseudonymized_Telefonnummer_1305,16.02.2024,pseudonymized_Vorname_1305,b360
Nicht verfügbar,"Pseudonymized, 7093 Wallis",24.11.2020,LinkedIN Jobslots,deutlich ungenügend,genügend,sehr gut,pseudonymized_E-Mail_1306,108413.9,1900-01-01,25.08.1996,80-90k,F,,,Irene Fuchs,Copywriter,3d1a2d14-6093-4a70-b031-8bbdf45c529a,pseudonymized_Nachname_1306,Bern,Prescreening,8f8de14d-b8f3-462b-80ed-02c27b2fcbfa,pseudonymized_Telefonnummer_1306,26.06.2021,pseudonymized_Vorname_1306,059e
Zu wenig Erfahrung,"Pseudonymized, 9717 Genf",03.02.2022,LinkedIN Paid Post,Unknown,genügend,deutlich ungenügend,pseudonymized_E-Mail_1307,80545.55,08.07.2022,30.11.1963,60-70k,F,,,Séverine Huber,Event Coordinator,f8fca88a-1b3e-4424-9966-c7a7a904d688,pseudonymized_Nachname_1307,Luzern,Eingereicht,2fbf76e4-f060-4105-8c1c-6d977999931f,pseudonymized_Telefonnummer_1307,11.02.2023,pseudonymized_Vorname_1307,97cc
Unzureichende Qualifikationen,"Pseudonymized, 6580 Genf",04.01.2024,Google Ads,genügend,gut,sehr gut,pseudonymized_E-Mail_1308,58331.84,13.02.2024,02.10.1982,80-90k,,,,Irene Fuchs,SEO Specialist,bbda9b8d-6724-40af-b96e-bad187fb8a13,pseudonymized_Nachname_1308,Luzern,Assessment,587933d6-b206-4411-8399-06e88d788204,pseudonymized_Telefonnummer_1308,20.01.2024,pseudonymized_Vorname_1308,a6c4
Bessere Kandidaten,"Pseudonymized, 9104 Appenzell Ausserrhoden",22.10.2023,Organic search,genügend,knapp ungenügend,genügend,pseudonymized_E-Mail_1309,110495.67,17.01.2024,20.02.1966,120-130k,F,,,Kristian Furrer,Payroll Specialist,30acd88a-af4f-47ff-a190-839f3a29ac10,pseudonymized_Nachname_1309,Bern,Assessment,bcfd3030-0eb1-4050-8f5c-bbd077c2043e,pseudonymized_Telefonnummer_1309,31.03.2024,pseudonymized_Vorname_1309,b677
Gehaltsvorstellungen zu hoch,"Pseudonymized, 5881 Genf",26.02.2022,Meta,deutlich ungenügend,knapp ungenügend,deutlich ungenügend,pseudonymized_E-Mail_1310,64482.69,07.09.2022,08.08.1964,>140k,M,,,Manon Bättig,Budget Analyst,0a075587-a471-4f36-8ad9-08248f5497bd,pseudonymized_Nachname_1310,Zürich,Prescreening,678d2947-2e19-40f5-aeb4-8a40d06c802a,pseudonymized_Telefonnummer_1310,02.08.2022,pseudonymized_Vorname_1310,8989
Unzureichende Qualifikationen,"Pseudonymized, 2659 Appenzell Ausserrhoden",20.08.2021,Google Ads,deutlich ungenügend,gut,genügend,pseudonymized_E-Mail_1311,92896.63,16.01.2023,26.09.1999,>140k,M,,,Margret Hasler,Software Engineer,c0be06a1-930f-4998-a138-ec0ef4355d85,pseudonymized_Nachname_1311,Bern,Abgelehnt,2cf55087-3039-4451-a8fd-76663506d396,pseudonymized_Telefonnummer_1311,1900-01-01,pseudonymized_Vorname_1311,ed72
Unzureichende Qualifikationen,"Pseudonymized, 5200 Genf",09.03.2022,Google Ads,knapp ungenügend,gut,knapp ungenügend,pseudonymized_E-Mail_1312,,02.01.2023,19.04.1968,120-130k,M,,,Gregor Eichenberger,Graphic Designer,fdff2d8c-3cb4-4f76-b38a-0b3478edce85,pseudonymized_Nachname_1312,Zürich,Prescreening,bcc91e13-bac6-4476-a579-b0ccc3b65487,pseudonymized_Telefonnummer_1312,25.01.2024,pseudonymized_Vorname_1312,dd01
Andere,Unknown,27.10.2022,Meta,genügend,genügend,gut,pseudonymized_E-Mail_1313,106905.12,15.11.2023,13.11.1978,>140k,M,,,Irene Fuchs,HR Specialist,f6b41756-cda1-4f3d-b41f-d898dce44aad,pseudonymized_Nachname_1313,Bern,Eingereicht,fefda806-6c3b-4d59-9361-6a90137677c6,pseudonymized_Telefonnummer_1313,01.02.2024,pseudonymized_Vorname_1313,a8ac
